"","entity_id","sample_id","interp_age","interp_age_uncert_pos","interp_age_uncert_neg","age_model_type","d13C_measurement","d13C_precision"
"1",277,204641,947.73,NA,NA,"linear",-7.9,0.1
"2",277,204641,889,182,579,"sisal: Bchron",-7.9,0.1
"3",277,204642,948.51,NA,NA,"linear",-7.93,0.1
"4",277,204642,890,181,579,"sisal: Bchron",-7.93,0.1
"5",277,204643,949.29,NA,NA,"linear",-7.9,0.1
"6",277,204643,890.5,180.5,577.55,"sisal: Bchron",-7.9,0.1
"7",277,204644,950.07,NA,NA,"linear",-7.88,0.1
"8",277,204644,891,181,576.1,"sisal: Bchron",-7.88,0.1
"9",277,204645,950.84,NA,NA,"linear",-7.87,0.1
"10",277,204645,891.5,180.5,575.6,"sisal: Bchron",-7.87,0.1
"11",277,204646,951.62,NA,NA,"linear",-7.9,0.1
"12",277,204646,892,180.05,574.15,"sisal: Bchron",-7.9,0.1
"13",277,204647,952.4,NA,NA,"linear",-7.9,0.1
"14",277,204647,892,181,572.2,"sisal: Bchron",-7.9,0.1
"15",277,204648,953.17,NA,NA,"linear",-7.91,0.1
"16",277,204648,893,180,571.25,"sisal: Bchron",-7.91,0.1
"17",277,204649,953.95,NA,NA,"linear",-7.95,0.1
"18",277,204649,893.5,179.5,570.7,"sisal: Bchron",-7.95,0.1
"19",277,204650,954.73,NA,NA,"linear",-8.14,0.1
"20",277,204650,894.5,178.55,569.7,"sisal: Bchron",-8.14,0.1
"21",277,204651,955.51,NA,NA,"linear",-8.16,0.1
"22",277,204651,895,178.05,570.1,"sisal: Bchron",-8.16,0.1
"23",277,204652,956.28,NA,NA,"linear",-8.15,0.1
"24",277,204652,896,178,568.15,"sisal: Bchron",-8.15,0.1
"25",277,204653,957.06,NA,NA,"linear",-8.08,0.1
"26",277,204653,896,178,566.15,"sisal: Bchron",-8.08,0.1
"27",277,204654,957.84,NA,NA,"linear",-8.13,0.1
"28",277,204654,896.5,178.5,564.65,"sisal: Bchron",-8.13,0.1
"29",277,204655,958.61,NA,NA,"linear",-8.19,0.1
