"","entity_id","sample_id","interp_age","interp_age_uncert_pos","interp_age_uncert_neg","age_model_type","d13C_measurement","d13C_precision"
"1",277,204641,947.73,NA,NA,"linear",-7.9,0.1
"2",277,204642,948.51,NA,NA,"linear",-7.93,0.1
"3",277,204643,949.29,NA,NA,"linear",-7.9,0.1
"4",277,204644,950.07,NA,NA,"linear",-7.88,0.1
"5",277,204645,950.84,NA,NA,"linear",-7.87,0.1
"6",277,204646,951.62,NA,NA,"linear",-7.9,0.1
"7",277,204647,952.4,NA,NA,"linear",-7.9,0.1
"8",277,204648,953.17,NA,NA,"linear",-7.91,0.1
"9",277,204649,953.95,NA,NA,"linear",-7.95,0.1
"10",277,204650,954.73,NA,NA,"linear",-8.14,0.1
"11",277,204651,955.51,NA,NA,"linear",-8.16,0.1
"12",277,204652,956.28,NA,NA,"linear",-8.15,0.1
"13",277,204653,957.06,NA,NA,"linear",-8.08,0.1
"14",277,204654,957.84,NA,NA,"linear",-8.13,0.1
"15",277,204655,958.61,NA,NA,"linear",-8.19,0.1
"16",277,204656,959.39,NA,NA,"linear",-8.23,0.1
"17",277,204657,960.17,NA,NA,"linear",-8.33,0.1
"18",277,204658,960.94,NA,NA,"linear",-8.39,0.1
"19",277,204659,961.72,NA,NA,"linear",-8.42,0.1
"20",277,204660,962.5,NA,NA,"linear",-8.41,0.1
"21",277,204661,963.28,NA,NA,"linear",-8.34,0.1
"22",277,204662,964.05,NA,NA,"linear",-8.34,0.1
"23",277,204663,964.83,NA,NA,"linear",-8.34,0.1
"24",277,204664,965.61,NA,NA,"linear",-8.39,0.1
"25",277,204665,966.38,NA,NA,"linear",-8.41,0.1
"26",277,204666,967.16,NA,NA,"linear",-8.4,0.1
"27",277,204667,967.94,NA,NA,"linear",-8.38,0.1
"28",277,204668,968.72,NA,NA,"linear",-8.33,0.1
"29",277,204669,969.49,NA,NA,"linear",-8.36,0.1
"30",277,204670,970.27,NA,NA,"linear",-8.41,0.1
"31",277,204671,971.05,NA,NA,"linear",-8.47,0.1
"32",277,204672,971.82,NA,NA,"linear",-8.42,0.1
"33",277,204673,972.6,NA,NA,"linear",-8.34,0.1
"34",277,204674,973.38,NA,NA,"linear",-8.27,0.1
"35",277,204675,974.16,NA,NA,"linear",-8.24,0.1
"36",277,204676,974.93,NA,NA,"linear",-8.24,0.1
"37",277,204677,975.71,NA,NA,"linear",-8.28,0.1
"38",277,204678,976.49,NA,NA,"linear",-8.32,0.1
"39",277,204679,977.26,NA,NA,"linear",-8.18,0.1
"40",277,204680,978.04,NA,NA,"linear",-8.02,0.1
"41",277,204681,978.82,NA,NA,"linear",-7.86,0.1
"42",277,204682,979.6,NA,NA,"linear",-7.95,0.1
"43",277,204683,980.37,NA,NA,"linear",-8.03,0.1
"44",277,204684,981.15,NA,NA,"linear",-8.15,0.1
"45",277,204685,981.93,NA,NA,"linear",-8.16,0.1
"46",277,204686,982.7,NA,NA,"linear",-8.18,0.1
"47",277,204687,983.48,NA,NA,"linear",-8.17,0.1
"48",277,204688,984.26,NA,NA,"linear",-8.22,0.1
"49",277,204689,985.04,NA,NA,"linear",-8.33,0.1
"50",277,204690,985.81,NA,NA,"linear",-8.46,0.1
"51",277,204691,986.59,NA,NA,"linear",-8.56,0.1
"52",277,204692,987.37,NA,NA,"linear",-8.62,0.1
"53",277,204693,988.14,NA,NA,"linear",-8.7,0.1
"54",277,204694,988.92,NA,NA,"linear",-8.73,0.1
"55",277,204695,989.7,NA,NA,"linear",-8.72,0.1
"56",277,204696,990.48,NA,NA,"linear",-8.64,0.1
"57",277,204697,991.25,NA,NA,"linear",-8.61,0.1
"58",277,204698,992.03,NA,NA,"linear",-8.6,0.1
"59",277,204699,992.81,NA,NA,"linear",-8.62,0.1
"60",277,204700,993.58,NA,NA,"linear",-8.65,0.1
"61",277,204701,994.36,NA,NA,"linear",-8.71,0.1
"62",277,204702,995.14,NA,NA,"linear",-8.81,0.1
"63",277,204703,995.92,NA,NA,"linear",-8.87,0.1
"64",277,204704,996.69,NA,NA,"linear",-8.93,0.1
"65",277,204705,997.47,NA,NA,"linear",-8.91,0.1
"66",277,204706,998.25,NA,NA,"linear",-8.96,0.1
"67",277,204707,999.02,NA,NA,"linear",-8.95,0.1
"68",277,204708,999.8,NA,NA,"linear",-8.99,0.1
"69",277,204709,1000.58,NA,NA,"linear",-8.96,0.1
"70",277,204710,1001.35,NA,NA,"linear",-8.95,0.1
"71",277,204711,1002.13,NA,NA,"linear",-8.91,0.1
"72",277,204712,1002.91,NA,NA,"linear",-8.93,0.1
"73",277,204713,1003.69,NA,NA,"linear",-8.98,0.1
"74",277,204714,1004.46,NA,NA,"linear",-9.05,0.1
"75",277,204715,1005.24,NA,NA,"linear",-9.12,0.1
"76",277,204716,1006.02,NA,NA,"linear",-9.17,0.1
"77",277,204717,1006.79,NA,NA,"linear",-9.17,0.1
"78",277,204718,1007.57,NA,NA,"linear",-9.08,0.1
"79",277,204719,1008.35,NA,NA,"linear",-8.98,0.1
