dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,14C_correction,calib_used,date_used,238U_content,238U_uncertainty,232Th_content,232Th_uncertainty,230Th_content,230Th_uncertainty,230Th_232Th_ratio,230Th_232Th_ratio_uncertainty,230Th_238U_activity,230Th_238U_activity_uncertainty,234U_238U_activity,234U_238U_activity_uncertainty,ini_230Th_232Th_ratio,ini_230Th_232Th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_Bchron,date_used_Bacon,date_used_OxCal,date_used_copRa,date_used_StalAge
150,11,"MC-ICP-MS U/Th",1.5,NULL,KS06A-H1,calcite,NULL,NULL,4010,20,20,NULL,NULL,yes,930,2,10500,200,NULL,NULL,20.36075312,0.370195511,0.0755,0.0004,2.0832,0.0031,0.814430125,0.203607531,"Cheng et al. 2000",3800,60,60,yes,yes,NULL,NULL,NULL,yes,yes
151,11,"MC-ICP-MS U/Th",12.8,NULL,KS06A-H2,calcite,NULL,NULL,5580,20,20,NULL,NULL,yes,1135,3,2660,60,NULL,NULL,131.4194065,3.701955113,0.1004,0.0004,2.0034,0.0028,0.814430125,0.203607531,"Cheng et al. 2000",5490,30,30,yes,yes,NULL,NULL,NULL,yes,yes
152,11,"MC-ICP-MS U/Th",23.3,NULL,KS06A-H5,calcite,NULL,NULL,7450,30,30,NULL,NULL,yes,2190,4,9900,200,NULL,NULL,85.88535863,1.665879801,0.1267,0.0004,1.9086,0.003,0.814430125,0.203607531,"Cheng et al. 2000",7320,40,40,yes,yes,NULL,NULL,NULL,yes,yes
153,11,"MC-ICP-MS U/Th",25.8,NULL,KS06A-H6,calcite,NULL,NULL,8070,30,30,NULL,NULL,yes,2596,5,9700,200,NULL,NULL,111.0586534,1.850977557,0.1348,0.0005,1.879,0.0027,0.814430125,0.203607531,"Cheng et al. 2000",7960,40,40,yes,yes,NULL,NULL,NULL,yes,yes
154,11,"MC-ICP-MS U/Th",26.5,NULL,KS06A-H7,calcite,NULL,NULL,8410,30,30,NULL,NULL,yes,3035,4,8500,200,NULL,NULL,151.7801597,3.701955113,0.1394,0.0004,1.8668,0.0024,0.814430125,0.203607531,"Cheng et al. 2000",8310,30,30,yes,yes,NULL,NULL,NULL,yes,yes
155,11,"MC-ICP-MS U/Th",27.3,NULL,KS06A-H8,calcite,NULL,NULL,8640,30,30,NULL,NULL,yes,3871,6,960,20,NULL,NULL,1758.428679,37.01955113,0.1422,0.0004,1.8573,0.0025,0.814430125,0.203607531,"Cheng et al. 2000",8570,30,30,yes,yes,NULL,NULL,NULL,yes,yes
156,11,"MC-ICP-MS U/Th",31.8,NULL,KS06A-H3,calcite,NULL,NULL,9550,50,50,NULL,NULL,yes,3530,10,11200,200,NULL,NULL,170.2899352,3.701955113,0.1768,0.0008,2.0936,0.0035,0.814430125,0.203607531,"Cheng et al. 2000",9450,60,60,yes,yes,NULL,NULL,NULL,yes,yes
157,12,"Event; hiatus",10.275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
158,12,"Event; hiatus",20.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
159,12,"Event; hiatus",22.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
160,12,"MC-ICP-MS U/Th",0.3,NULL,KS06A-1,calcite,NULL,NULL,53300,200,200,NULL,NULL,yes,3072,7,3290,70,NULL,NULL,1869.487332,37.01955113,0.6557,0.0021,1.6478,0.0021,0.814430125,0.407215062,"Cheng et al. 2000",53300,400,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL
161,12,"MC-ICP-MS U/Th",1.8,NULL,KS06A-2,calcite,NULL,NULL,65100,200,200,NULL,NULL,yes,1254,2,900,20,NULL,NULL,3330,74.03910227,0.7835,0.0016,1.6837,0.0018,0.814430125,0.407215062,"Cheng et al. 2000",65000,300,300,NULL,NULL,NULL,NULL,NULL,NULL,NULL
162,12,"MC-ICP-MS U/Th",3.3,NULL,KS06A-1,calcite,NULL,NULL,74700,300,300,NULL,NULL,yes,762,1,3820,40,NULL,NULL,536.7834915,7.403910227,0.8913,0.0023,1.7258,0.003,0.814430125,0.407215062,"Cheng et al. 2000",74600,500,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,12,"MC-ICP-MS U/Th",3.5,NULL,KS06A-3,calcite,NULL,NULL,76500,300,300,NULL,NULL,yes,1438,3,550,10,NULL,NULL,6830.107184,148.0782045,0.8464,0.0021,1.6154,0.002,0.814430125,0.407215062,"Cheng et al. 2000",76500,500,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,12,"MC-ICP-MS U/Th",5.1,NULL,KS06A-4,calcite,NULL,NULL,79000,400,400,NULL,NULL,yes,2414,5,373,8,NULL,NULL,16473.70026,370.1955113,0.8304,0.0024,1.5523,0.002,0.814430125,0.407215062,"Cheng et al. 2000",79000,500,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,12,"MC-ICP-MS U/Th",6.8,NULL,KS06A-5,calcite,NULL,NULL,81000,400,400,NULL,NULL,yes,3498,9,560,10,NULL,NULL,16103.50474,370.1955113,0.849,0.0025,1.5596,0.0021,0.814430125,0.407215062,"Cheng et al. 2000",80900,600,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,12,"MC-ICP-MS U/Th",8.3,NULL,KS06A-6,calcite,NULL,NULL,81900,400,400,NULL,NULL,yes,2759,6,670,20,NULL,NULL,11290.9631,185.0977557,0.9027,0.0026,1.6391,0.0022,0.814430125,0.407215062,"Cheng et al. 2000",81900,600,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL
167,12,"MC-ICP-MS U/Th",9.5,NULL,KS06A-7,calcite,NULL,NULL,84700,300,300,NULL,NULL,yes,1136,2,4220,90,NULL,NULL,838.4928332,16.65879801,1.0207,0.002,1.7996,0.0019,0.814430125,0.407215062,"Cheng et al. 2000",84600,400,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,12,"MC-ICP-MS U/Th",10.5,NULL,KS06A-1,calcite,NULL,NULL,93700,300,300,NULL,NULL,yes,271,1,6740,70,NULL,NULL,140.4891966,1.480782045,1.1436,0.0022,1.8751,0.0019,0.814430125,0.407215062,"Cheng et al. 2000",93300,600,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,12,"MC-ICP-MS U/Th",10.8,NULL,KS06A-8,calcite,NULL,NULL,94600,300,300,NULL,NULL,yes,303,1,22400,500,NULL,NULL,48.12541648,0.925488778,1.163,0.0018,1.8932,0.0019,0.814430125,0.407215062,"Cheng et al. 2000",93600,1200,1200,NULL,NULL,NULL,NULL,NULL,NULL,NULL
170,12,"MC-ICP-MS U/Th",12.3,NULL,KS06A-9,calcite,NULL,NULL,96100,200,200,NULL,NULL,yes,318,1,11300,300,NULL,NULL,96.25083295,3.701955113,1.1253,0.0015,1.8182,0.0019,0.814430125,0.407215062,"Cheng et al. 2000",95500,700,700,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,12,"MC-ICP-MS U/Th",13.7,NULL,KS06A-10,calcite,NULL,NULL,97400,200,200,NULL,NULL,yes,429,1,2310,50,NULL,NULL,610.8225937,12.9568429,1.0767,0.0013,1.7295,0.0018,0.814430125,0.407215062,"Cheng et al. 2000",97300,400,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,12,"MC-ICP-MS U/Th",14.2,NULL,KS06A-11,calcite,NULL,NULL,99900,300,300,NULL,NULL,yes,953,1,1070,20,NULL,NULL,2720.937008,55.5293267,0.9987,0.0015,1.5877,0.0018,0.814430125,0.407215062,"Cheng et al. 2000",99800,500,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,12,"MC-ICP-MS U/Th",14.8,NULL,KS06A-12,calcite,NULL,NULL,101400,300,300,NULL,NULL,yes,1446,2,520,10,NULL,NULL,8107.281699,166.5879801,0.9636,0.0015,1.5222,0.0017,0.814430125,0.407215062,"Cheng et al. 2000",101400,500,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,12,"MC-ICP-MS U/Th",15,NULL,KS06A-2,calcite,NULL,NULL,101700,400,400,NULL,NULL,yes,2053,3,3970,40,NULL,NULL,1490.036933,16.65879801,0.9427,0.0022,1.489,0.0015,0.814430125,0.407215062,"Cheng et al. 2000",101600,600,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,12,"MC-ICP-MS U/Th",15.2,NULL,KS06A-26,calcite,NULL,NULL,102600,400,400,NULL,NULL,yes,1859,3,2500,50,NULL,NULL,2184.153517,55.5293267,0.9605,0.0019,1.5073,0.0016,0.814430125,0.407215062,"Cheng et al. 2000",102500,600,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,12,"MC-ICP-MS U/Th",15.8,NULL,KS08-127-1,calcite,NULL,NULL,103200,400,400,NULL,NULL,yes,2451,4,2210,50,NULL,NULL,3128.152071,74.03910227,0.9235,0.0021,1.449,0.0018,0.814430125,0.407215062,"Cheng et al. 2000",103100,700,700,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177,12,"MC-ICP-MS U/Th",16,NULL,KS08-1-27-3,calcite,NULL,NULL,103400,500,500,NULL,NULL,yes,2818,5,3260,70,NULL,NULL,2406.270824,55.5293267,0.9109,0.0022,1.4291,0.002,0.814430125,0.407215062,"Cheng et al. 2000",103300,700,700,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,12,"MC-ICP-MS U/Th",16.5,NULL,KS06A-14,calcite,NULL,NULL,104100,300,300,NULL,NULL,yes,1646,2,3320,70,NULL,NULL,1425.252719,37.01955113,0.9373,0.0016,1.461,0.0017,0.814430125,0.407215062,"Cheng et al. 2000",104000,500,500,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179,12,"MC-ICP-MS U/Th",23.8,NULL,KS06A-3,calcite,NULL,NULL,189100,1000,1000,NULL,NULL,yes,640,1,1820,20,NULL,NULL,1351.213616,18.50977557,1.2642,0.0025,1.4366,0.0014,0.814430125,0.407215062,"Cheng et al. 2000",189000,1600,1600,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,12,"MC-ICP-MS U/Th",24.1,NULL,KS06A-28-2,calcite,NULL,NULL,190200,1000,1000,NULL,NULL,yes,615,1,830,20,NULL,NULL,2850.505437,55.5293267,1.2638,0.002,1.4331,0.0017,0.814430125,0.407215062,"Cheng et al. 2000",190100,1500,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,12,"MC-ICP-MS U/Th",24.2,NULL,KS06A-16,calcite,NULL,NULL,192000,1000,1000,NULL,NULL,yes,833,1,1210,30,NULL,NULL,2665.407682,55.5293267,1.2691,0.002,1.4334,0.0016,0.814430125,0.407215062,"Cheng et al. 2000",191900,1500,1500,NULL,NULL,NULL,NULL,NULL,NULL,NULL
182,12,"MC-ICP-MS U/Th",27.5,NULL,KS06A-29,calcite,NULL,NULL,198600,1100,1100,NULL,NULL,yes,1210,2,2090,40,NULL,NULL,2276.702395,55.5293267,1.2941,0.0023,1.4405,0.0017,0.814430125,0.407215062,"Cheng et al. 2000",198500,1700,1700,NULL,NULL,NULL,NULL,NULL,NULL,NULL
183,12,"MC-ICP-MS U/Th",28.9,NULL,KS06A-18,calcite,NULL,NULL,203300,1100,1100,NULL,NULL,yes,412,1,1130,30,NULL,NULL,1517.801597,37.01955113,1.366,0.0022,1.4975,0.0018,0.814430125,0.407215062,"Cheng et al. 2000",203200,1700,1700,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184,12,"MC-ICP-MS U/Th",29.1,NULL,KS08-1-30-1,calcite,NULL,NULL,203900,2100,2100,NULL,NULL,yes,510,1,1740,40,NULL,NULL,1240.154963,37.01955113,1.3842,0.0054,1.5133,0.0017,0.814430125,0.407215062,"Cheng et al. 2000",203800,3300,3300,NULL,NULL,NULL,NULL,NULL,NULL,NULL
185,12,"MC-ICP-MS U/Th",29.5,NULL,KS06A-30,calcite,NULL,NULL,208400,1100,1100,NULL,NULL,yes,391,1,1540,30,NULL,NULL,1018.037656,18.50977557,1.322,0.002,1.4433,0.0017,0.814430125,0.407215062,"Cheng et al. 2000",208300,1700,1700,NULL,NULL,NULL,NULL,NULL,NULL,NULL
186,12,"MC-ICP-MS U/Th",31.1,NULL,KS06A-19,calcite,NULL,NULL,211100,1200,1200,NULL,NULL,yes,703,1,710,20,NULL,NULL,3664.935562,74.03910227,1.2044,0.0018,1.327,0.0016,0.814430125,0.407215062,"Cheng et al. 2000",211100,1900,1900,NULL,NULL,NULL,NULL,NULL,NULL,NULL
187,12,"MC-ICP-MS U/Th",32.5,NULL,KS06A-20,calcite,NULL,NULL,215500,1600,1600,NULL,NULL,yes,2115,3,2390,50,NULL,NULL,3331.759602,74.03910227,1.2346,0.0026,1.3465,0.0017,0.814430125,0.407215062,"Cheng et al. 2000",215400,2400,2400,NULL,NULL,NULL,NULL,NULL,NULL,NULL
188,12,"MC-ICP-MS U/Th",32.6,NULL,KS06A-31,calcite,NULL,NULL,216500,1700,1700,NULL,NULL,yes,2953,5,6900,200,NULL,NULL,1536.311372,37.01955113,1.1761,0.0028,1.2904,0.0016,0.814430125,0.407215062,"Cheng et al. 2000",216400,2700,2700,NULL,NULL,NULL,NULL,NULL,NULL,NULL
