site_id,entity_id,entity_name,entity_status,corresponding_current,depth_ref,cover_thickness,distance_entrance,speleothem_type,drip_type,d13C,d18O,d18O_water_equilibrium,trace_elements,organics,fluid_inclusions,mineralogy_petrology_fabric,clumped_isotopes,noble_gas_temperatures,C14,ODL,Mg_Ca,contact,data_DOI_URL
1,1,BT-1,current,NULL,"from top",30,32.4,stalagmite,unknown,yes,yes,unknown,yes,no,no,yes,no,no,no,no,no,"Hai Cheng",https://www.ncdc.noaa.gov/paleo/study/20449
1,2,BT-2.1,current,NULL,"from top",30,32.4,stalagmite,unknown,yes,yes,unknown,yes,no,no,yes,no,no,no,no,no,"Hai Cheng",https://www.ncdc.noaa.gov/paleo/study/20449
1,3,BT-2.2,current,NULL,"from top",30,32.4,stalagmite,unknown,yes,yes,unknown,yes,no,no,yes,no,no,no,no,no,"Hai Cheng",https://www.ncdc.noaa.gov/paleo/study/20449
1,4,BT-2.3,current,NULL,"from top",30,32.4,stalagmite,unknown,yes,yes,unknown,yes,no,no,yes,no,no,no,no,no,"Hai Cheng",https://www.ncdc.noaa.gov/paleo/study/20449
1,5,BT-2.4,current,NULL,"from top",30,32.4,stalagmite,unknown,yes,yes,unknown,yes,no,no,yes,no,no,no,no,no,"Hai Cheng",https://www.ncdc.noaa.gov/paleo/study/20449
1,6,BT-2.5,current,NULL,"from top",30,32.4,stalagmite,unknown,yes,yes,unknown,yes,no,no,yes,no,no,no,no,no,"Hai Cheng",https://www.ncdc.noaa.gov/paleo/study/20449
1,7,BT-4,current,NULL,"from top",30,32.4,stalagmite,unknown,yes,yes,unknown,yes,no,no,yes,no,no,no,no,no,"Hai Cheng",https://www.ncdc.noaa.gov/paleo/study/20449
1,8,BT-6,current,NULL,"from top",30,32.4,stalagmite,unknown,yes,yes,unknown,yes,no,no,yes,no,no,no,no,no,"Hai Cheng",https://www.ncdc.noaa.gov/paleo/study/20449
1,9,BT-8,current,NULL,"from top",30,32.4,stalagmite,unknown,yes,yes,unknown,yes,no,no,yes,no,no,no,no,no,"Hai Cheng",https://www.ncdc.noaa.gov/paleo/study/20449
1,10,BT-9,current,NULL,"from top",30,32.4,stalagmite,unknown,yes,yes,unknown,yes,no,no,yes,no,no,no,no,no,"Hai Cheng",https://www.ncdc.noaa.gov/paleo/study/20449
