sample_id,hiatus
5059,H
5176,H
5181,H
5652,H
6280,H
6314,H
6975,H
7080,H
7119,H
7128,H
8193,H
8310,H
9255,H
9537,H
9551,H
11804,H
11812,H
11846,H
11982,H
15080,H
19795,H
19886,H
20103,H
20794,H
20986,H
21750,H
22314,H
23566,H
23624,H
23778,H
24040,H
24207,H
24239,H
24684,H
24848,H
27700,H
32891,H
33103,H
33276,H
34110,H
35630,H
37256,H
39408,H
39501,H
46161,H
46314,H
46394,H
46510,H
46553,H
47024,H
47056,H
51857,H
52521,H
53080,H
54469,H
56306,H
71961,H
73759,H
73840,H
73924,H
74179,H
78303,H
78434,H
78506,H
78727,H
79016,H
79103,H
79105,H
83470,H
84365,H
88032,H
90046,H
108676,H
109422,H
109925,H
111546,H
111904,H
112420,H
113498,H
115437,H
116009,H
117390,H
133998,H
133999,H
134655,H
136009,H
140717,H
142116,H
143963,H
147229,H
147600,H
157479,H
162151,H
162533,H
162618,H
175747,H
175806,H
177095,H
177103,H
177106,H
177114,H
177130,H
177133,H
177143,H
177158,H
177185,H
178146,H
178246,H
180147,H
181199,H
184222,H
187373,H
187408,H
189320,H
189467,H
196075,H
196190,H
196259,H
196398,H
199050,H
199219,H
199860,H
200969,H
201000,H
201053,H
201070,H
201081,H
201103,H
201114,H
201125,H
201319,H
204566,H
205100,H
205227,H
205986,H
206008,H
206016,H
206020,H
206036,H
206049,H
206349,H
206518,H
206571,H
206603,H
206704,H
206815,H
206840,H
206976,H
207393,H
208162,H
208190,H
208763,H
208764,H
230405,H
232152,H
232153,H
232154,H
232155,H
232156,H
237680,H
238096,H
238650,H
242489,H
242490,H
242491,H
244647,H
245186,H
252958,H
255646,H
255774,H
255880,H
255964,H
256048,H
256140,H
260896,H
263122,H
267736,H
268101,H
268111,H
268743,H
274674,H
274732,H
274767,H
274781,H
275086,H
275109,H
277799,H
278872,H
279375,H
282906,H
283187,H
286695,H
287338,H
287463,H
288507,H
289500,H
290320,H
293569,H
293579,H
293736,H
293770,H
294995,H
295290,H
297717,H
297796,H
297858,H
297899,H
298099,H
298122,H
298607,H
298730,H
298749,H
298765,H
298794,H
298923,H
311613,H
311709,H
314317,H
314945,H
324194,H
324241,H
330001,H
330122,H
330275,H
331565,H
331566,H
331567,H
331568,H
331569,H
331570,H
331571,H
331572,H
331573,H
331574,H
331575,H
332727,H
333614,H
333839,H
333890,H
333966,H
334020,H
334166,H
334181,H
334199,H
336172,H
337529,H
338810,H
339570,H
344234,H
344403,H
344499,H
344930,H
348597,H
350081,H
350196,H
350250,H
350515,H
350986,H
351270,H
351491,H
351744,H
352094,H
352195,H
352231,H
352556,H
352626,H
352634,H
355351,H
356585,H
357792,H
358483,H
362609,H
362952,H
363063,H
363179,H
363264,H
363448,H
363502,H
363600,H
363757,H
364026,H
364130,H
365526,H
366035,H
370123,H
370138,H
370491,H
371196,H
371216,H
371244,H
371343,H
371518,H
371574,H
371996,H
377659,H
377835,H
378259,H
378656,H
379368,H
379766,H
380690,H
380722,H
380825,H
382736,H
382950,H
386644,H
386706,H
386749,H
386805,H
386838,H
386879,H
386956,H
387012,H
387367,H
389390,H
394056,H
395138,H
395536,H
397025,H
397987,H
403763,H
403946,H
403952,H
403956,H
403967,H
404281,H
406158,H
406356,H
410087,H
411327,H
411958,H
412010,H
412174,H
414019,H
414038,H
