site_id,notes
3,"Entity PAR03 (entity_id = 21) is not actively growing when collected."
4,"Vil-stm11 (entity_id=29): Detrital Th correction made only on the top two samples (dating_id = 8198 and 8199). U-Th ages for entity_id=29 were calculated using the following decay constants: 234U: 2.835*10^(-6)/yr, 238U: 1.55125*10^(-10)/yr, 230Th: 9.1952*10^(-6)/yr, 232Th: 4.9475*10^(-11)/yr. Decay constants are probably derived from the following papers: 230Th: Meadows et al.,1980, 234U: average value from De Bievre et al. 1971 and Lounsbury and Durham 1971."
7,"Stable isotope record of T7_1999 (entity_id = 46) was published in Stevenson et al., 1999; the dating information was published in Holmgren et al., 1999. In the Dating Information of T7_1999 (entity_id = 46), all empty fields of the 230Th/232Th ratio had values above 1000. The content of initial thorium is considered minimal and no correction was needed. In the original data at entity T5 (entity_id = 45) at depth 244mm there were two delta values, these were averaged out. d18O: -2.31 & -2.48; d13C: -3.38 & -3.2. \\ Entity T8 (entity_id = 48): There is a hiatus in between sample_id = 17044 and 17045 (interp_age = 10110 and 12590, respectively); depth of hiatus was not provided."
8,"In all entities from this site (LH-70s-1 (entity_id = 50), LH-70s-2 (entity_id = 51), LH-70s-3 (entity_id = 52)), the depth_sample duplications are for levels at which the line of samples has been shifted laterally along a growth layer (e.g. the sample line had to sidestep to avoid a vug or the same layer had to be sampled across a break in the slab). \\ Entity LH-70s-1 (entity_id = 50): Potential hiatus at approximately 201.5mm cannot be confirmed."
9,"Entity TON-2 (entity_id = 54) is not actively growing when collected."
10,"Entity JAR_composite (entity_id = 449): Valdir Novello constructed this unpublished composite record. If used individually, please cite the references of the individual records that were used to construct this composite."
12,"Entity ML.1 and ML.2 (entity_id = 476, 477): isotope samples were obtained from ML.1 and ML.2 at 125-250 and 182-255 mm, respectively. Depths = 125mm (ML.1) and 182mm (ML.2) are reported here as depth = 0mm. // Entity KM-1 (entity_id = 495): Age-depth model inflection at 12ka is due to how the age model dealt with one date with a large error. \\ Entity MWS-1 (entity_id = 62): Mineralogy information could not be retrieved."
13,"234U/238U values of BGC-5, BGC-10, BGC-11_2018, BGC-16 (entity_id = 633, 634, 635, 636) are derived from d234U values."
15,"For the bottom section of BA-1 (entity_id = 71), below depth_sample = 232.4 mm, the age model of BA-1 (entity_id = 71) has been adjusted to that off BA-2 (entity_id = 72); this is documented in the publication."
16,"Entity Han-9 (entity_id = 75) has two samples (sample_id = 37484 and 37485 at depth_sample = 179.5 and 179, respectively) which had max interp_age provided to be greater than interp_age, resulting in negative interp_age_uncert_neg. The absolute value of these interp_age_uncert_neg were provided instead."
17,"Entity HY1 and HY3 (entity_id = 76, 78) are not actively growing when collected."
21,"In all entities from this site (SU967 (entity_id = 85) and SU032 (entity_id = 86)), initial 230Th/232Th atomic ratio of 4.4 +/- 2.2 x 10-6 used."
26,"Published depths for FM3 (entity_id = 95) and Oks82 (entity_id =  96) have been converted to distance from top. Offset in the age model for Oks82 (entity_id = 96) consistent with publication."
27,"Entity TM2 (entity_id = 98) has 27 sets of samples with the same depth_sample and interp_age but different isotope values (d18O and d13C)). \\ Entity TM0 (entity_id = 97) is not actively growing when collected."
30,"The LII4 (entity_id = 103) and LII4-KH (entity_id = 104) entities were sampled from the same speleothem. Two hiatuses in both LII4 (entity_id = 103) and LII4-KH (entity_id = 104) but the depths are unknown. Host Rock age is given as ""Proterozoic"" in both references. The weight of carbonate (mg) is given for drilled aliquots - some of these were subdivided and dated multiple times so the weight of the actual dated aliquot is not known (Holmgren et al. 1994)."
