ref_id,citation,publication_DOI
1,"Kathayat, G., Cheng, H., Sinha, A., Spötl, C., Edwards, R. L., Zhang, H., Li, X., Yi, L., Ning, Y., Cai, Y., Lui, W. L. and Breitenbach, S. F. M.: Indian monsoon variability on millennial-orbital timescales, Sci. Rep., 6(1), 2016.",10.1038/srep24374
2,"Cheng, H., Spötl, C., Breitenbach, S. F. M., Sinha, A., Wassenburg, J. A., Jochum, K. P., Scholz, D., Li, X., Yi, L., Peng, Y., Lv, Y., Zhang, P., Votintseva, A., Loginov, V., Ning, Y., Kathayat, G. and Edwards, R. L.: Climate variations of Central Asia on orbital to millennial timescales, Sci. Rep., 6(1), 2016.",10.1038/srep36975
3,"Wang, X., Edwards, R. L., Auler, A. S., Cheng, H., Kong, X., Wang, Y., Cruz, F. W., Dorale, J. A. and Chiang, H.-W.: Hydroclimate changes across the Amazon lowlands over the past 45,000 years, Nature, 541(7636), 204–207, 2017.",10.1038/nature20787
4,"D. Genty, unpublished",unpublished
5,"Genty, D., Blamart, D., Ouahdi, R., Gilmour, M., Baker, A., Jouzel, J. and Van-Exter, S.: Precise dating of Dansgaard–Oeschger climate oscillations in western Europe from stalagmite data, Nature, 421(6925), 833–837, 2003.",10.1038/nature01391
6,"Genty, D., Combourieu-Nebout, N., Peyron, O., Blamart, D., Wainer, K., Mansuri, F., Ghaleb, B., Isabello, L., Dormoy, I. and von Grafenstein, U.: Isotopic characterization of rapid climatic events during OIS3 and OIS4 in Villars Cave stalagmites (SW-France) and correlation with Atlantic and Mediterranean pollen records, Quat. Sci. Rev., 29(19–20), 2799–2820, 2010.",10.1016/j.quascirev.2010.06.035
7,"Genty, D., Blamart, D., Ghaleb, B., Plagnes, V., Causse, C., Bakalowicz, M., Zouari, K., Chkir, N., Hellstrom, J. and Wainer, K.: Timing and dynamics of the last deglaciation from European and North African δ13C stalagmite profiles—comparison with Chinese and South Hemisphere stalagmites, Quat. Sci. Rev., 25(17–18), 2118–2142, 2006.",10.1016/j.quascirev.2006.01.030
8,"Wainer, K., Genty, D., Blamart, D., Hoffmann, D. and Couchoud, I.: A new stage 3 millennial climatic variability record from a SW France speleothem, Palaeogeogr. Palaeoclimatol. Palaeoecol., 271(1–2), 130–139, 2009.",10.1016/j.palaeo.2008.10.009
9,"Wainer, K., Genty, D., Blamart, D., Daëron, M., Bar-Matthews, M., Vonhof, H., Dublyansky, Y., Pons-Branchu, E., Thomas, L., van Calsteren, P., Quinif, Y. and Caillon, N.: Speleothem record of the last 180 ka in Villars cave (SW France): Investigation of a large δ18O shift between MIS6 and MIS5, Quat. Sci. Rev., 30(1–2), 130–146, 2011.",10.1016/j.quascirev.2010.07.004
10,"Labuhn, I., Genty, D., Vonhof, H., Bourdin, C., Blamart, D., Douville, E., Ruan, J., Cheng, H., Edwards, R. L., Pons-Branchu, E. and Pierre, M.: A high-resolution fluid inclusion δ18O record from a stalagmite in SW France: modern calibration and comparison with multiple proxies, Quat. Sci. Rev., 110, 152–165, 2015.",10.1016/j.quascirev.2014.12.021
