site_id,site_name,latitude,longitude,elevation,geology,rock_age,monitoring
1,"Bittoo cave",30.7903,77.7764,3000.0,limestone,Pleistocene,yes
2,"Kesang cave",42.8700,81.7500,2000.0,unknown,Pleistocene,no
3,"Paraiso cave",-4.0667,-55.4500,60.0,limestone,Carboniferous,yes
4,"Villars cave",45.4300,0.7800,175.0,limestone,Jurassic,yes
5,"Yangkou cave",29.0333,107.1833,2140.0,limestone,Permian,yes
6,"Hulu cave",32.5000,119.1700,86.0,unknown,unknown,unknown
7,"Cold Air cave",-24.0000,29.1833,1420.0,dolomite,Precambrian,yes
8,"Lancaster Hole",54.2209,-2.5168,294.0,limestone,Carboniferous,yes
9,"Tonnel’naya cave",38.4000,67.2300,3226.0,unknown,Pleistocene,yes
10,"Jaraguá cave",-21.0830,-56.5830,570.0,dolomite,unknown,yes
11,"Jeita cave",33.9500,35.6500,100.0,limestone,Pleistocene,no
12,"Mawmluh cave",25.2622,91.8817,1160.0,mixed,Eocene,yes
13,"Ball Gown cave",-17.0300,125.0000,100.0,limestone,Devonian,yes
14,"Lehman caves",39.0100,-114.2200,2080.0,limestone,Cambrian,yes
15,"Baschg cave",47.2501,9.6667,780.0,limestone,Cretaceous,no
16,"Han-sur-Lesse cave",50.1164,5.1884,180.0,limestone,Devonian,no
17,"Huangye cave",33.5833,105.1167,1650.0,unknown,unknown,no
18,"Abissal cave",-5.5642,-37.6659,100.0,limestone,unknown,no
19,"Kanaan cave",33.9069,35.6069,98.0,limestone,Jurassic,yes
20,"Secret cave",4.0848,114.8503,250.0,limestone,unknown,unknown
21,"Uamh an Tartair",58.1400,-4.9300,220.0,dolomite,Ordovician,yes
22,"RukieSSa cave",8.6036,40.3772,1618.0,limestone,Jurassic,yes
23,"Lapa grande cave",-14.3700,-44.2800,590.0,limestone,Precambrian,no
24,"Lapa sem fim cave",-16.1503,-44.6281,341.0,limestone,Precambrian,yes
25,"Palestina cave",-5.9200,-77.3500,870.0,limestone,Triassic,yes
26,"Okshola cave",67.0000,15.0000,165.0,marble,unknown,no
27,"Tamboril cave",-16.0000,-47.0000,200.0,dolomite,Precambrian,yes
28,"Valmiki cave ",15.1500,77.8167,420.0,dolomite,Precambrian,no
29,"Mairs cave",-32.1600,138.8300,475.0,limestone,Cambrian,no
30,"Lobatse cave",-25.2100,25.6800,1200.0,dolomite,unknown,no
31,"Abaliget cave",46.1333,18.1167,209.0,limestone,Triassic,yes
32,Anjokipoty,-15.5784,46.7344,43.0,limestone,unknown,no
33,"Bero cave",8.4241,40.3073,1363.0,limestone,Jurassic,yes
34,"Cueva del Diablo",18.1920,-99.9210,1030.0,unknown,Cretaceous,no
35,"Curupira cave",-15.2002,-56.7839,420.0,limestone,unknown,no
36,"Dayu cave",33.1330,106.3000,870.0,dolomite,Precambrian,no
37,"DeSoto caverns",33.3722,-86.3667,150.0,dolomite,Ordovician,unknown
38,"Diva cave",-12.3819,-41.5733,680.0,limestone,unknown,no
39,"Dongge cave",25.2833,108.0833,680.0,limestone,Pleistocene,no
40,"Excentrica cave",37.1000,-7.7700,100.0,limestone,Jurassic,yes
41,"Fukugaguchi cave",36.9917,137.8000,170.0,limestone,Permian,yes
42,"Ifoulki cave",30.7080,-9.3275,1250.0,limestone,unknown,no
43,"Kalakot cave",33.2219,74.4258,826.0,limestone,Precambrian,no
44,"Kapsia cave",37.6233,22.3539,700.0,limestone,Triassic,yes
45,"Kulishu cave",39.6800,115.6500,610.0,dolomite,Precambrian,no
46,"Labyrintgrottan cave",66.0600,14.6800,730.0,limestone,Ordovician,no
47,"Larshullet cave",66.4381,14.1822,400.0,marble,unknown,no
48,"Leviathan cave",37.8900,-115.5800,2400.0,limestone,Devonian,yes
49,"McLean's cave",38.0700,-120.4200,300.0,mixed,Permian,no
50,"Moaning cave",38.0717,-120.4655,520.0,limestone,Triassic,no
51,"Natural Bridge caverns",29.6900,-98.3400,306.0,limestone,Cretaceous,yes
52,"Pau d'Alho cave",-15.2055,-56.8000,340.0,limestone,unknown,no
53,"Pippikin Pot cave",54.2143,-2.5123,320.0,limestone,Carboniferous,yes
54,"Sahiya cave",30.6000,77.8667,1190.0,unknown,unknown,no
55,"Sieben Hengste cave",46.7500,7.8100,1955.0,limestone,Cretaceous,unknown
56,"Skala Marion cave",40.6387,24.5144,41.0,limestone,Miocene,unknown
57,"Soylegrotta cave",66.5500,13.9200,280.0,marble,unknown,yes
58,"Spannagel cave",47.0900,11.6700,2310.0,marble,Jurassic,yes
59,"Suozi cave",32.4300,107.1700,700.0,limestone,Permian,no
60,"Taurius cave",-15.5333,167.0167,230.0,unknown,unknown,no
61,"Timta cave",29.8381,82.0336,1900.0,unknown,unknown,no
62,"Torrinha cave",-12.3495,-41.6038,680.0,limestone,unknown,unknown
63,"Tzabnah cave",20.7300,-89.7160,20.0,unknown,unknown,unknown
64,"Wah Shikhar cave",25.2500,91.8667,1290.0,unknown,unknown,no
65,"Whiterock cave",4.1500,114.8600,250.0,limestone,Pleistocene,unknown
66,"White Scar cave",54.1656,-2.4419,255.0,limestone,Carboniferous,yes
67,"Clearwater/Wind caves connection",4.1000,114.8300,224.0,limestone,unknown,unknown
68,"Jerusalem west cave",31.7833,35.1500,700.0,dolomite,Cretaceous,unknown
69,"Xinglong cave",40.5000,117.5000,710.0,dolomite,Precambrian,yes
70,"Abaco Island cave",26.2300,-77.1600,-45.0,limestone,Pleistocene,no
71,"Baradla cave",48.4667,20.5000,375.0,limestone,Triassic,yes
72,"Ascunsă cave",45.0000,22.6000,1050.0,limestone,Cretaceous,yes
73,"Bourgeois–Delaunay cave",45.6678,0.5133,110.0,limestone,Jurassic,no
74,"Cango cave",-33.3925,22.2147,687.0,limestone,Precambrian,no
75,"Cave Without a Name",29.8852,-98.6208,377.0,limestone,Cretaceous,yes
76,"Ceremosnja cave",44.4000,21.6500,530.0,limestone,Cretaceous,yes
77,"Chauvet cave",44.2300,4.2600,240.0,limestone,Cretaceous,yes
78,"Chilibrillo cave",9.1741,-79.6164,60.0,unknown,unknown,no
79,"Dim cave",36.5340,32.1056,232.0,limestone,Permian,no
80,"Furong cave",29.2289,107.9036,480.0,dolomite,Cambrian,yes
81,"Gueldaman cave",36.4333,4.5667,507.0,limestone,Jurassic,yes
82,"Hollywood cave",-41.9500,171.4700,100.0,limestone,unknown,unknown
83,"La Mine cave",36.0300,9.6800,975.0,limestone,Cretaceous,yes
84,"Leány cave",47.7000,18.8400,420.0,limestone,Triassic,no
85,"Macal Chasm",16.8830,-89.1080,530.0,limestone,Cretaceous,unknown
86,"Modrič cave",44.2568,15.5372,32.0,limestone,Cretaceous,yes
87,"Pindal cave",43.4000,-4.5300,24.0,limestone,Carboniferous,yes
88,"Postojna cave",45.7700,14.2000,529.0,limestone,Cretaceous,yes
89,"New St Michael's cave",36.1261,-5.3455,325.0,limestone,Jurassic,yes
90,"Trió cave",46.1100,18.1500,275.0,limestone,Triassic,no
91,"Urşilor cave",46.5537,22.5695,482.0,limestone,Jurassic,unknown
92,"Bir-Uja cave",40.4833,72.5833,1435.0,limestone,Devonian,yes
93,"Green Cathedral cave",4.2333,114.9250,569.0,limestone,unknown,unknown
94,Anjohibe,-15.5300,46.8800,131.0,mixed,Eocene,no
95,"Brown's cave",27.8894,-82.5186,25.0,limestone,Eocene,no
96,"Brown's Folly mine",51.3800,-2.3700,150.0,limestone,Jurassic,yes
97,"Bue Marino cave",40.2467,9.6228,0.0,limestone,Jurassic,unknown
98,"Crag cave",52.2500,-9.4300,60.0,limestone,Carboniferous,yes
99,"Dante cave",-19.4000,17.8833,1400.0,dolomite,unknown,unknown
100,"Katerloch cave",47.0833,15.5500,900.0,limestone,Devonian,yes
101,"Klapferloch cave",46.9500,10.5500,1140.0,mixed,Cretaceous,yes
102,"Korallgrottan cave",64.8900,14.1600,570.0,mixed,Precambrian,yes
103,"Lapa Doce cave",-12.3344,-41.6043,680.0,limestone,unknown,no
104,"Liang Luar",-8.5300,120.4300,550.0,limestone,Miocene,no
105,"Schneckenloch cave",47.4333,9.8667,1285.0,limestone,Cretaceous,unknown
106,"Seso cave",42.4600,0.0400,794.0,limestone,Eocene,yes
107,"Yok Balum cave",16.2086,-89.0735,336.0,limestone,Cretaceous,yes
108,"Clamouse cave",43.7100,3.5500,110.0,mixed,Jurassic,yes
109,"Molinos cave",40.7925,-0.4492,1050.0,limestone,Cretaceous,yes
110,"Ma'ale Efrayim cave",32.0660,35.3952,250.0,dolomite,Cretaceous,unknown
111,"Rainha cave",-5.5782,-37.6432,100.0,limestone,unknown,unknown
